mmsi,timestamp,latitude,longitude,speed_knots,course_degrees,vessel_type
316001111,2018-12-18T00:00:00+00:00,29.12930281947898,-88.83094447431202,9.2,47,Oil Tanker
316002222,2018-12-18T00:00:00+00:00,29.20030281947898,-88.85654447431203,11.5,34,Cargo
316003333,2018-12-18T00:00:00+00:00,29.161702819478982,-88.79694447431201,4.2,18,Tug
316004444,2018-12-18T00:00:00+00:00,28.96130281947898,-88.68494447431202,14.0,310,Passenger
316001111,2018-12-18T00:20:00+00:00,29.129969486145647,-88.83021114097869,9.2,47,Oil Tanker
316002222,2018-12-18T00:20:00+00:00,29.200802819478984,-88.8562111409787,11.5,34,Cargo
316003333,2018-12-18T00:20:00+00:00,29.161802819478982,-88.79687780764536,4.2,18,Tug
316004444,2018-12-18T00:20:00+00:00,28.961636152812314,-88.6852111409787,14.0,310,Passenger
316001111,2018-12-18T00:40:00+00:00,29.130636152812315,-88.82947780764536,9.2,47,Oil Tanker
316002222,2018-12-18T00:40:00+00:00,29.201302819478983,-88.85587780764537,11.5,34,Cargo
316003333,2018-12-18T00:40:00+00:00,29.161902819478982,-88.79681114097869,4.2,18,Tug
316004444,2018-12-18T00:40:00+00:00,28.961969486145648,-88.68547780764536,14.0,310,Passenger
316001111,2018-12-18T01:00:00+00:00,29.131302819478982,-88.82874447431202,9.2,47,Oil Tanker
316002222,2018-12-18T01:00:00+00:00,29.20180281947898,-88.85554447431203,11.5,34,Cargo
316003333,2018-12-18T01:00:00+00:00,29.16200281947898,-88.79674447431202,4.2,18,Tug
316004444,2018-12-18T01:00:00+00:00,28.96230281947898,-88.68574447431203,14.0,310,Passenger
316001111,2018-12-18T01:20:00+00:00,29.131969486145646,-88.82801114097869,9.2,47,Oil Tanker
316002222,2018-12-18T01:20:00+00:00,29.202302819478984,-88.8552111409787,11.5,34,Cargo
316003333,2018-12-18T01:20:00+00:00,29.16210281947898,-88.79667780764535,4.2,18,Tug
316004444,2018-12-18T01:20:00+00:00,28.962636152812316,-88.68601114097869,14.0,310,Passenger
316001111,2018-12-18T01:40:00+00:00,29.132636152812314,-88.82727780764536,9.2,47,Oil Tanker
316002222,2018-12-18T01:40:00+00:00,29.202802819478983,-88.85487780764537,11.5,34,Cargo
316003333,2018-12-18T01:40:00+00:00,29.16220281947898,-88.79661114097868,4.2,18,Tug
316004444,2018-12-18T01:40:00+00:00,28.96296948614565,-88.68627780764535,14.0,310,Passenger
316001111,2018-12-18T02:00:00+00:00,29.13330281947898,-88.82654447431203,9.2,47,Oil Tanker
316002222,2018-12-18T02:00:00+00:00,29.20330281947898,-88.85454447431204,11.5,34,Cargo
316003333,2018-12-18T02:00:00+00:00,29.16230281947898,-88.79654447431201,4.2,18,Tug
316004444,2018-12-18T02:00:00+00:00,28.96330281947898,-88.68654447431203,14.0,310,Passenger
316001111,2018-12-18T02:20:00+00:00,29.13396948614565,-88.82581114097869,9.2,47,Oil Tanker
316002222,2018-12-18T02:20:00+00:00,29.20380281947898,-88.85421114097869,11.5,34,Cargo
316003333,2018-12-18T02:20:00+00:00,29.16240281947898,-88.79647780764535,4.2,18,Tug
316004444,2018-12-18T02:20:00+00:00,28.963636152812313,-88.68681114097869,14.0,310,Passenger
316001111,2018-12-18T02:40:00+00:00,29.134636152812313,-88.82507780764536,9.2,47,Oil Tanker
316002222,2018-12-18T02:40:00+00:00,29.204302819478983,-88.85387780764536,11.5,34,Cargo
316003333,2018-12-18T02:40:00+00:00,29.16250281947898,-88.79641114097869,4.2,18,Tug
316004444,2018-12-18T02:40:00+00:00,28.963969486145647,-88.68707780764535,14.0,310,Passenger
316001111,2018-12-18T03:00:00+00:00,29.13530281947898,-88.82434447431203,9.2,47,Oil Tanker
